case_id;date;start_of_week;start_of_month;translated_comments;sentiment;sentiment_rate;channel;resolution_time_min;csat_rating_received;classification;resolved_in_sla;first_touch_resolution;group_name_history;groups;total_groups;csat_rated_group_name;issue_classification
CASE-16977;2024-10-02;2024-09-29;2024-10-01;The email team was fast and solved my problem.;positive;4;email;172;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Payment Issues
CASE-20942;2025-02-21;2025-02-16;2025-02-01;Email support was fast and gave me all the info I needed.;positive;5;chatbot;3;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Payment Issues
CASE-26020;2024-01-19;2024-01-14;2024-01-01;Email support was fast and fixed my login issue.;positive;4;phone;11;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-17123;2024-01-27;2024-01-21;2024-01-01;The chatbot assisted me with my fees effortlessly.;positive;4;email;297;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Transaction Error
CASE-21536;2023-03-30;2023-03-26;2023-03-01;Email support was alright, nothing impressive.;neutral;3;phone;26;3;DETRACTOR;1;1;Grupo C;1;1;Grupo C;Loan Inquiry
CASE-25799;2024-10-16;2024-10-13;2024-10-01;The chatbot couldn’t handle my simple transfer request.;negative;2;chatbot;21;1;DETRACTOR;0;0;Grupo C,Grupo J,Grupo G,Grupo G;3;4;Grupo G;Payment Issues
CASE-24798;2024-11-15;2024-11-10;2024-11-01;The email team took forever and didn’t help.;negative;1;phone;78;2;DETRACTOR;0;0;Grupo H,Grupo D,Grupo E;3;3;Grupo E;Payment Issues
CASE-17338;2023-03-20;2023-03-19;2023-03-01;The email response was decent, not great.;neutral;3;chatbot;10;3;DETRACTOR;1;0;Grupo H;1;1;Grupo H;Login Problems
CASE-20486;2022-02-05;2022-01-30;2022-02-01;The phone team was amazing with my inquiry.;positive;5;email;83;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Card Issues
CASE-19003;2023-11-15;2023-11-12;2023-11-01;The chatbot kept crashing when I needed help.;negative;1;email;1743;1;DETRACTOR;0;0;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-25292;2024-12-15;2024-12-15;2024-12-01;The phone agent was so patient with my account setup.;positive;5;phone;17;5;PROMOTER;1;1;Grupo G,Grupo D;2;2;Grupo D;Loan Inquiry
CASE-18700;2022-01-08;2022-01-02;2022-01-01;Email support took a week to reply, ridiculous!;negative;2;chatbot;23;2;DETRACTOR;0;0;Grupo B,Grupo A,Grupo E,Grupo E;3;4;Grupo E;Card Issues
CASE-18000;2023-06-27;2023-06-25;2023-06-01;The chatbot made banking so convenient, I love it!;positive;4;email;153;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Loan Inquiry
CASE-21721;2024-08-30;2024-08-25;2024-08-01;Phone support was amazing, they handled my complaint well.;positive;5;email;159;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Payment Issues
CASE-28838;2022-05-16;2022-05-15;2022-05-01;Email support was fast and fixed my login issue.;positive;4;email;145;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Account Setup
CASE-16115;2024-03-04;2024-03-03;2024-03-01;Email support was polite and answered all my questions.;positive;4;chatbot;4;5;PROMOTER;1;0;Grupo C;1;1;Grupo C;Balance Inquiry
CASE-21099;2023-06-09;2023-06-04;2023-06-01;The email response was professional and to the point.;positive;5;chatbot;5;4;PROMOTER;1;1;Grupo G,Grupo H;2;2;Grupo H;Fees Inquiry
CASE-24610;2024-06-27;2024-06-23;2024-06-01;Phone support was excellent, they helped me with my statement.;positive;4;email;182;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-23213;2022-09-06;2022-09-04;2022-09-01;The phone agent didn’t know basic banking info.;negative;1;email;2538;1;DETRACTOR;0;0;Grupo B,Grupo A;2;2;Grupo A;Transaction Error
CASE-15637;2022-09-26;2022-09-25;2022-09-01;The chatbot failed to help with my account setup.;negative;1;phone;65;1;DETRACTOR;0;0;Grupo H,Grupo D;2;2;Grupo D;Transaction Error
CASE-16317;2022-11-16;2022-11-13;2022-11-01;Phone support was average, met basic needs.;neutral;3;email;1319;3;DETRACTOR;1;0;Grupo B;1;1;Grupo B;Card Issues
CASE-18748;2024-03-18;2024-03-17;2024-03-01;The chatbot helped me track my transaction effortlessly.;positive;4;phone;9;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Balance Inquiry
CASE-26411;2022-07-02;2022-06-26;2022-07-01;Email support was a complete letdown.;negative;1;email;2236;2;DETRACTOR;0;0;Grupo G,Grupo F;2;2;Grupo F;Transaction Error
CASE-17699;2023-07-06;2023-07-02;2023-07-01;Email support was fast and fixed my login issue.;positive;5;phone;7;5;PROMOTER;1;1;Grupo F,Grupo I;2;2;Grupo I;Transaction Error
CASE-16293;2024-12-15;2024-12-15;2024-12-01;The email team took too long to fix my login issue.;negative;2;email;2337;2;DETRACTOR;0;0;Grupo D,Grupo B,Grupo I;3;3;Grupo I;Payment Issues
CASE-17964;2023-12-27;2023-12-24;2023-12-01;I had a wonderful experience opening my account via phone.;positive;5;chatbot;1;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Loan Inquiry
CASE-21813;2024-11-19;2024-11-17;2024-11-01;The phone agent didn’t even try to assist me.;negative;2;chatbot;44;2;DETRACTOR;0;1;Grupo A,Grupo I,Grupo G,Grupo J,Grupo I;4;5;Grupo I;Payment Issues
CASE-27182;2023-03-17;2023-03-12;2023-03-01;The email response was clear and solved my problem.;positive;5;email;110;5;PROMOTER;1;0;Grupo F,Grupo H;2;2;Grupo H;Account Setup
CASE-29816;2024-03-02;2024-02-25;2024-03-01;The phone representative was unhelpful and impatient.;negative;1;email;1816;1;DETRACTOR;0;0;Grupo H,Grupo H,Grupo D;2;3;Grupo D;Fraud Report
CASE-21467;2022-04-11;2022-04-10;2022-04-01;The phone team was rude and hung up on me.;negative;2;chatbot;32;2;DETRACTOR;0;0;Grupo I,Grupo H;2;2;Grupo H;Fraud Report
CASE-21423;2023-07-31;2023-07-30;2023-07-01;The email response was decent, not great.;neutral;3;chatbot;15;3;DETRACTOR;0;0;Grupo J;1;1;Grupo J;Account Setup
CASE-20841;2022-06-07;2022-06-05;2022-06-01;The email team was courteous and efficient.;positive;5;chatbot;5;4;PROMOTER;1;0;Grupo G;1;1;Grupo G;Card Issues
CASE-19123;2024-06-28;2024-06-23;2024-06-01;The email response was okay, not very detailed.;neutral;3;chatbot;10;4;PROMOTER;1;1;Grupo G,Grupo I;2;2;Grupo I;Login Problems
CASE-24290;2025-01-28;2025-01-26;2025-01-01;The agent was very helpful and resolved my issue quickly.;positive;4;chatbot;3;4;PROMOTER;1;1;Grupo G,Grupo C;2;2;Grupo C;Account Setup
CASE-24024;2023-03-16;2023-03-12;2023-03-01;Great customer service, the phone representative was so polite!;positive;5;chatbot;3;4;PROMOTER;1;1;Grupo I,Grupo F;2;2;Grupo F;Balance Inquiry
CASE-16666;2024-03-13;2024-03-10;2024-03-01;The phone team was professional and handled my request well.;positive;5;phone;8;4;PROMOTER;1;1;Grupo J,Grupo H;2;2;Grupo H;General Inquiry
CASE-24309;2024-03-24;2024-03-24;2024-03-01;The phone agent was unhelpful with my fees.;negative;1;phone;53;1;DETRACTOR;0;0;Grupo B,Grupo H;2;2;Grupo H;Fees Inquiry
CASE-21574;2024-01-31;2024-01-28;2024-01-01;The chatbot gave me wrong loan terms info.;negative;1;email;3043;2;DETRACTOR;0;1;Grupo I,Grupo J,Grupo J;2;3;Grupo J;Card Issues
CASE-15794;2024-01-06;2023-12-31;2024-01-01;Email support was terrible, they ignored me.;negative;1;email;6619;2;DETRACTOR;0;0;Grupo D,Grupo C,Grupo J,Grupo H,Grupo G;5;5;Grupo G;Fraud Report
CASE-27876;2024-10-20;2024-10-20;2024-10-01;The email team responded promptly and solved my issue.;positive;4;chatbot;2;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Balance Inquiry
CASE-24184;2023-03-27;2023-03-26;2023-03-01;The chatbot assisted me with my fees effortlessly.;positive;5;phone;11;4;PROMOTER;1;1;Grupo A,Grupo G,Grupo J;3;3;Grupo J;Account Setup
CASE-26398;2024-06-20;2024-06-16;2024-06-01;Email support was excellent and very responsive.;positive;5;chatbot;3;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-23519;2022-09-21;2022-09-18;2022-09-01;The chatbot couldn’t assist with my bill payment.;negative;1;email;8602;1;DETRACTOR;0;1;Grupo C,Grupo C,Grupo J,Grupo I,Grupo G;4;5;Grupo G;Card Issues
CASE-27784;2022-11-03;2022-10-30;2022-11-01;The chatbot helped me check my balance instantly, love it!;positive;5;email;61;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Card Issues
CASE-20177;2022-12-26;2022-12-25;2022-12-01;The phone agent explained everything in a friendly way.;positive;5;email;247;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Card Issues
CASE-18550;2023-12-10;2023-12-10;2023-12-01;Email support took days to reply, terrible service!;negative;1;chatbot;17;1;DETRACTOR;0;0;Grupo G,Grupo A,Grupo G;2;3;Grupo G;Card Issues
CASE-21794;2024-01-06;2023-12-31;2024-01-01;The chatbot couldn’t process my balance request.;negative;1;email;4826;1;DETRACTOR;0;0;Grupo F,Grupo B;2;2;Grupo B;Fraud Report
CASE-26195;2022-06-06;2022-06-05;2022-06-01;Email support was neutral, not standout.;neutral;3;chatbot;7;4;PROMOTER;1;1;Grupo A,Grupo G,Grupo A,Grupo J;3;4;Grupo J;Login Problems
CASE-15325;2022-09-27;2022-09-25;2022-09-01;The email team provided excellent service, I’m happy!;positive;4;phone;6;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Balance Inquiry
CASE-19609;2022-11-07;2022-11-06;2022-11-01;The email response was thorough and resolved my question.;positive;4;chatbot;2;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;General Inquiry
CASE-29066;2022-02-18;2022-02-13;2022-02-01;The chatbot was a lifesaver when I needed to block my card.;positive;5;chatbot;4;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Balance Inquiry
CASE-15629;2024-01-09;2024-01-07;2024-01-01;The phone agent fixed my issue with a great attitude.;positive;5;email;172;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Payment Issues
CASE-18586;2022-09-23;2022-09-18;2022-09-01;The phone team was slow and didn’t care.;negative;1;email;3587;2;DETRACTOR;0;0;Grupo J,Grupo B,Grupo C,Grupo H,Grupo C;4;5;Grupo C;Login Problems
CASE-18763;2022-03-06;2022-03-06;2022-03-01;The chatbot was fine with my payment query.;neutral;3;email;1532;4;PROMOTER;0;1;Grupo E,Grupo J;2;2;Grupo J;Payment Issues
CASE-21470;2022-06-04;2022-05-29;2022-06-01;The email support team was efficient and friendly.;positive;4;email;199;4;PROMOTER;1;0;Grupo I;1;1;Grupo I;Card Issues
CASE-21685;2023-10-12;2023-10-08;2023-10-01;Email support was slow and didn’t solve anything.;negative;2;chatbot;49;1;DETRACTOR;0;0;Grupo I,Grupo E,Grupo C;3;3;Grupo C;Card Issues
CASE-29279;2024-03-14;2024-03-10;2024-03-01;The agent was very helpful and resolved my issue quickly.;positive;5;email;161;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-23179;2023-11-13;2023-11-12;2023-11-01;The phone team made banking so easy for me.;positive;4;phone;15;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Transaction Error
CASE-25849;2023-02-03;2023-01-29;2023-02-01;The chatbot handled my request, but it was basic.;neutral;3;phone;29;3;DETRACTOR;1;1;Grupo F;1;1;Grupo F;Account Setup
CASE-18499;2024-06-13;2024-06-09;2024-06-01;Phone support was awful, they ignored my problem.;negative;1;email;8831;2;DETRACTOR;0;0;Grupo C,Grupo A,Grupo I,Grupo J;4;4;Grupo J;Payment Issues
CASE-16471;2022-08-28;2022-08-28;2022-08-01;The email team didn’t address my issue at all.;negative;1;email;3411;1;DETRACTOR;0;0;Grupo F,Grupo F,Grupo C;2;3;Grupo C;Balance Inquiry
CASE-29075;2024-01-11;2024-01-07;2024-01-01;The phone agent was rude and didn’t solve my issue.;negative;2;phone;41;1;DETRACTOR;0;1;Grupo C,Grupo D,Grupo D,Grupo D;2;4;Grupo D;Balance Inquiry
CASE-17000;2024-01-06;2023-12-31;2024-01-01;The phone agent helped me with my rewards program.;positive;4;phone;18;4;PROMOTER;1;1;Grupo I,Grupo E;2;2;Grupo E;Loan Inquiry
CASE-26940;2022-03-05;2022-02-27;2022-03-01;The phone agent helped me with my rewards program.;positive;5;email;254;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Card Issues
CASE-15515;2022-10-23;2022-10-23;2022-10-01;Phone support was quick and made my day better!;positive;4;email;143;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Balance Inquiry
CASE-20349;2022-05-16;2022-05-15;2022-05-01;The support team over the phone was incredibly helpful.;positive;4;phone;13;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Payment Issues
CASE-25986;2023-08-21;2023-08-20;2023-08-01;Email support ignored my complaint completely.;negative;1;phone;37;2;DETRACTOR;0;0;Grupo A,Grupo H,Grupo I;3;3;Grupo I;Transaction Error
CASE-26038;2024-08-20;2024-08-18;2024-08-01;Phone support was disrespectful and unhelpful.;negative;1;phone;61;2;DETRACTOR;0;0;Grupo J;1;1;Grupo J;Login Problems
CASE-17759;2024-07-12;2024-07-07;2024-07-01;The phone agent hung up on me mid-conversation.;negative;2;chatbot;22;1;DETRACTOR;0;0;Grupo B,Grupo E,Grupo J;3;3;Grupo J;Login Problems
CASE-18708;2022-03-21;2022-03-20;2022-03-01;Fantastic support over the phone, my issue was fixed in minutes.;positive;5;chatbot;4;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-29905;2022-01-31;2022-01-30;2022-01-01;The call center staff was patient and resolved my payment issue.;positive;4;phone;5;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Account Setup
CASE-22557;2022-05-20;2022-05-15;2022-05-01;The phone team resolved my overdraft issue professionally.;positive;5;email;344;4;PROMOTER;1;0;Grupo G,Grupo G,Grupo F;2;3;Grupo F;Payment Issues
CASE-23885;2023-12-09;2023-12-03;2023-12-01;The phone team made me wait and then hung up.;negative;1;chatbot;35;1;DETRACTOR;0;0;Grupo I;1;1;Grupo I;Login Problems
CASE-22685;2023-10-08;2023-10-08;2023-10-01;The email response was prompt and very clear.;positive;5;phone;14;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-23438;2024-01-14;2024-01-14;2024-01-01;Email support was average, not bad or good.;neutral;3;email;275;3;DETRACTOR;1;0;Grupo H,Grupo D,Grupo J;3;3;Grupo J;Fees Inquiry
CASE-18848;2022-10-26;2022-10-23;2022-10-01;The chatbot crashed when I tried to check my balance.;negative;1;chatbot;27;1;DETRACTOR;0;0;Grupo A;1;1;Grupo A;General Inquiry
CASE-25697;2023-12-28;2023-12-24;2023-12-01;The chatbot couldn’t reset my PIN properly.;negative;2;email;3394;2;DETRACTOR;0;0;Grupo F,Grupo H,Grupo I,Grupo A,Grupo J;5;5;Grupo J;General Inquiry
CASE-15511;2023-05-06;2023-04-30;2023-05-01;The phone agent was great at explaining my loan terms.;positive;5;email;274;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-26717;2023-06-01;2023-05-28;2023-06-01;Phone support was friendly and resolved my concern.;positive;5;phone;6;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-29947;2025-02-04;2025-02-02;2025-02-01;The chatbot helped me check my balance instantly, love it!;positive;4;phone;9;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Account Setup
CASE-21205;2023-10-17;2023-10-15;2023-10-01;Phone support was outstanding and very helpful.;positive;5;email;70;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Account Setup
CASE-24736;2024-09-16;2024-09-15;2024-09-01;The chatbot gave me wrong info about my account.;negative;2;email;3844;2;DETRACTOR;0;1;Grupo F,Grupo G,Grupo F,Grupo G;2;4;Grupo G;Loan Inquiry
CASE-21421;2024-10-05;2024-09-29;2024-10-01;The email response was delayed and unhelpful.;negative;2;chatbot;31;2;DETRACTOR;0;0;Grupo G,Grupo E;2;2;Grupo E;Payment Issues
CASE-28519;2024-12-10;2024-12-08;2024-12-01;The chatbot gave me wrong loan terms info.;negative;2;phone;59;1;DETRACTOR;0;0;Grupo A,Grupo I,Grupo A,Grupo G;3;4;Grupo G;Login Problems
CASE-28425;2023-11-10;2023-11-05;2023-11-01;The phone agent was rude and didn’t solve my issue.;negative;2;email;1844;2;DETRACTOR;0;0;Grupo C,Grupo G,Grupo I,Grupo J;4;4;Grupo J;Card Issues
CASE-20590;2022-03-17;2022-03-13;2022-03-01;The phone team made banking so easy for me.;positive;5;email;155;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-15051;2023-12-16;2023-12-10;2023-12-01;The chatbot failed to help with my account setup.;negative;1;email;1930;2;DETRACTOR;0;1;Grupo G,Grupo I,Grupo B,Grupo C;4;4;Grupo C;Card Issues
CASE-26859;2022-05-28;2022-05-22;2022-05-01;The call center staff was patient and resolved my payment issue.;positive;4;email;111;5;PROMOTER;1;1;Grupo I,Grupo J;2;2;Grupo J;General Inquiry
CASE-17364;2024-11-20;2024-11-17;2024-11-01;Email support took days to reply, terrible service!;negative;2;chatbot;14;1;DETRACTOR;0;1;Grupo F,Grupo G,Grupo J,Grupo J;3;4;Grupo J;Login Problems
CASE-25456;2023-04-09;2023-04-09;2023-04-01;I had a horrible experience with the phone support.;negative;2;phone;32;2;DETRACTOR;0;0;Grupo J,Grupo C;2;2;Grupo C;Card Issues
CASE-17548;2023-12-29;2023-12-24;2023-12-01;The phone agent gave me conflicting information.;negative;2;email;3486;2;DETRACTOR;0;0;Grupo G,Grupo A,Grupo D;3;3;Grupo D;Transaction Error
CASE-15381;2024-02-25;2024-02-25;2024-02-01;The email team sent a reply that solved nothing.;negative;2;email;3529;1;DETRACTOR;0;0;Grupo B,Grupo C,Grupo I,Grupo B,Grupo J;4;5;Grupo J;Login Problems
CASE-23368;2023-09-30;2023-09-24;2023-09-01;The chatbot failed to assist with my rewards query.;negative;1;phone;39;1;DETRACTOR;0;0;Grupo C,Grupo C,Grupo E;2;3;Grupo E;General Inquiry
CASE-29913;2024-10-26;2024-10-20;2024-10-01;The chatbot helped me with my account balance quickly.;positive;4;email;246;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Login Problems
CASE-21079;2023-09-24;2023-09-24;2023-09-01;The email team solved my issue with a single reply.;positive;4;phone;14;4;PROMOTER;1;1;Grupo I,Grupo B,Grupo E;3;3;Grupo E;Loan Inquiry
CASE-28845;2024-01-31;2024-01-28;2024-01-01;I waited on hold for an hour, this is unacceptable.;negative;2;phone;106;1;DETRACTOR;0;0;Grupo H,Grupo F,Grupo C,Grupo I;4;4;Grupo I;Login Problems
CASE-25961;2023-10-14;2023-10-08;2023-10-01;Email support was amazing, they responded right away.;positive;4;chatbot;4;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Balance Inquiry
CASE-27155;2025-01-07;2025-01-05;2025-01-01;I received a detailed email response in less than an hour.;positive;4;chatbot;1;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-27338;2024-05-16;2024-05-12;2024-05-01;The chatbot helped me with my savings goal easily.;positive;5;chatbot;4;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-24255;2023-03-24;2023-03-19;2023-03-01;The chatbot was fast and accurate with my inquiry.;positive;5;email;122;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Fees Inquiry
CASE-29764;2024-11-28;2024-11-24;2024-11-01;Email support made resolving my issue so easy.;positive;4;phone;11;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Payment Issues
CASE-23270;2023-11-08;2023-11-05;2023-11-01;The phone team was okay, nothing standout.;neutral;3;email;1588;4;PROMOTER;0;1;Grupo J,Grupo H;2;2;Grupo H;Loan Inquiry
CASE-27204;2024-02-17;2024-02-11;2024-02-01;Phone support was the worst I’ve ever experienced.;negative;1;email;2527;2;DETRACTOR;0;0;Grupo H,Grupo A,Grupo G;3;3;Grupo G;Card Issues
CASE-29400;2025-01-23;2025-01-19;2025-01-01;Email support took a week to reply, ridiculous!;negative;2;chatbot;15;1;DETRACTOR;0;1;Grupo J,Grupo J,Grupo H;2;3;Grupo H;Login Problems
CASE-26941;2023-04-06;2023-04-02;2023-04-01;The phone agent didn’t care about my complaint.;negative;2;phone;95;1;DETRACTOR;0;0;Grupo F,Grupo B,Grupo B;2;3;Grupo B;Transaction Error
CASE-15761;2024-07-17;2024-07-14;2024-07-01;The email team ignored my urgent request.;negative;1;email;4453;1;DETRACTOR;0;0;Grupo D;1;1;Grupo D;Fraud Report
CASE-16479;2025-02-10;2025-02-09;2025-02-01;The chatbot kept freezing during my inquiry.;negative;1;phone;89;1;DETRACTOR;0;1;Grupo B,Grupo J,Grupo I,Grupo D;4;4;Grupo D;Fraud Report
CASE-26515;2022-07-23;2022-07-17;2022-07-01;The email team took days to reply with nothing useful.;negative;2;phone;52;1;DETRACTOR;0;0;Grupo H,Grupo D,Grupo F,Grupo C;4;4;Grupo C;Balance Inquiry
CASE-24849;2023-06-19;2023-06-18;2023-06-01;Email support exceeded my expectations with their quick reply.;positive;4;chatbot;4;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Card Issues
CASE-15936;2022-07-26;2022-07-24;2022-07-01;The chatbot gave me useless info about my card.;negative;1;chatbot;24;2;DETRACTOR;0;0;Grupo D,Grupo G,Grupo G,Grupo C,Grupo B;4;5;Grupo B;Card Issues
CASE-16021;2023-03-12;2023-03-12;2023-03-01;The email response was clear and solved my problem.;positive;5;chatbot;1;5;PROMOTER;1;1;Grupo I,Grupo C,Grupo I;2;3;Grupo I;Balance Inquiry
CASE-15642;2023-11-01;2023-10-29;2023-11-01;The phone team was okay, nothing standout.;neutral;3;email;1090;3;DETRACTOR;1;1;Grupo J,Grupo F;2;2;Grupo F;Loan Inquiry
CASE-15012;2022-10-27;2022-10-23;2022-10-01;The chatbot couldn’t assist with my bill payment.;negative;1;email;5188;1;DETRACTOR;0;0;Grupo A,Grupo J;2;2;Grupo J;Transaction Error
CASE-22127;2022-08-09;2022-08-07;2022-08-01;The chatbot couldn’t handle my payment issue.;negative;2;chatbot;18;1;DETRACTOR;0;1;Grupo G,Grupo D;2;2;Grupo D;Fraud Report
CASE-21734;2023-12-04;2023-12-03;2023-12-01;The chatbot couldn’t assist with my bill payment.;negative;2;chatbot;45;1;DETRACTOR;0;0;Grupo H,Grupo D,Grupo B;3;3;Grupo B;Loan Inquiry
CASE-22534;2024-07-02;2024-06-30;2024-07-01;The phone team didn’t solve my transfer problem.;negative;1;phone;34;1;DETRACTOR;0;0;Grupo E,Grupo B,Grupo H,Grupo H,Grupo E;3;5;Grupo E;Transaction Error
CASE-25706;2022-07-08;2022-07-03;2022-07-01;The chatbot gave me wrong payment instructions.;negative;1;chatbot;48;2;DETRACTOR;0;0;Grupo C,Grupo A,Grupo B,Grupo D,Grupo B;4;5;Grupo B;Fees Inquiry
CASE-20721;2024-08-27;2024-08-25;2024-08-01;Email support was the worst, no effort at all.;negative;2;chatbot;19;1;DETRACTOR;0;0;Grupo H,Grupo I;2;2;Grupo I;Account Setup
CASE-23650;2022-10-18;2022-10-16;2022-10-01;The email response was professional and to the point.;positive;5;phone;14;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Account Setup
CASE-19662;2023-10-29;2023-10-29;2023-10-01;The email team provided excellent service, I’m happy!;positive;5;email;136;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Login Problems
CASE-29612;2023-10-25;2023-10-22;2023-10-01;The chatbot was quick to assist with my payment query.;positive;4;phone;17;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Transaction Error
CASE-25203;2024-02-25;2024-02-25;2024-02-01;The phone team made me wait and then hung up.;negative;2;chatbot;29;1;DETRACTOR;0;0;Grupo I,Grupo E,Grupo E,Grupo B;3;4;Grupo B;Fraud Report
CASE-21527;2023-12-07;2023-12-03;2023-12-01;Quick and friendly service, my card issue was sorted out fast.;positive;5;chatbot;5;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-23893;2023-11-08;2023-11-05;2023-11-01;The email response was clear and solved my problem.;positive;4;phone;7;5;PROMOTER;1;1;Grupo E,Grupo B,Grupo H;3;3;Grupo H;Payment Issues
CASE-19054;2024-02-20;2024-02-18;2024-02-01;Email support was fast and gave me all the info I needed.;positive;5;email;162;4;PROMOTER;1;1;Grupo H,Grupo A;2;2;Grupo A;Card Issues
CASE-16475;2023-04-20;2023-04-16;2023-04-01;Phone support was excellent, they helped me with my statement.;positive;5;chatbot;4;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Balance Inquiry
CASE-16870;2024-06-01;2024-05-26;2024-06-01;The phone team was fine, no major problems.;neutral;3;email;541;4;PROMOTER;1;0;Grupo I,Grupo G;2;2;Grupo G;General Inquiry
CASE-23895;2024-03-09;2024-03-03;2024-03-01;Phone support was okay, nothing to rave about.;neutral;3;phone;26;3;DETRACTOR;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-26213;2024-06-15;2024-06-09;2024-06-01;The chatbot gave me wrong loan terms info.;negative;2;phone;58;1;DETRACTOR;0;0;Grupo B,Grupo A,Grupo G,Grupo I;4;4;Grupo I;Payment Issues
CASE-18476;2022-10-26;2022-10-23;2022-10-01;The chatbot gave me incorrect balance info.;negative;2;chatbot;35;1;DETRACTOR;0;0;Grupo B,Grupo G;2;2;Grupo G;Card Issues
CASE-23075;2022-12-19;2022-12-18;2022-12-01;The email team didn’t fix my login problem.;negative;2;email;4296;1;DETRACTOR;0;1;Grupo D,Grupo E,Grupo J;3;3;Grupo J;Card Issues
CASE-24878;2023-07-08;2023-07-02;2023-07-01;The email team was fast and solved my problem.;positive;5;phone;19;4;PROMOTER;1;1;Grupo J,Grupo J;1;2;Grupo J;Transaction Error
CASE-26308;2022-06-12;2022-06-12;2022-06-01;Email support was okay, not impressive.;neutral;3;email;384;3;DETRACTOR;1;0;Grupo I,Grupo H,Grupo C;3;3;Grupo C;Payment Issues
CASE-18905;2024-10-27;2024-10-27;2024-10-01;The support team over the phone was incredibly helpful.;positive;5;phone;17;4;PROMOTER;1;1;Grupo C,Grupo D;2;2;Grupo D;Payment Issues
CASE-27095;2023-02-04;2023-01-29;2023-02-01;The email response was fine, not very helpful.;neutral;3;email;1117;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Transaction Error
CASE-19944;2025-01-18;2025-01-12;2025-01-01;The chatbot crashed when I asked about my loan.;negative;1;chatbot;10;2;DETRACTOR;1;0;Grupo F,Grupo B,Grupo H;3;3;Grupo H;Fraud Report
CASE-25345;2023-10-14;2023-10-08;2023-10-01;The chatbot made banking so convenient, I love it!;positive;4;chatbot;1;4;PROMOTER;1;1;Grupo E,Grupo F,Grupo D;3;3;Grupo D;Login Problems
CASE-16193;2023-11-27;2023-11-26;2023-11-01;Email support was okay, not impressive.;neutral;3;chatbot;20;3;DETRACTOR;0;1;Grupo H,Grupo C;2;2;Grupo C;Transaction Error
CASE-16961;2024-06-13;2024-06-09;2024-06-01;The email team took forever and didn’t help.;negative;2;email;2118;2;DETRACTOR;0;0;Grupo J,Grupo G,Grupo J,Grupo J;2;4;Grupo J;Card Issues
CASE-18566;2023-01-29;2023-01-29;2023-01-01;The phone team was great at helping me with my card.;positive;4;phone;5;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Fees Inquiry
