case_id,date,start_of_week,start_of_month,translated_comments,sentiment,sentiment_rate,resolution_time_min,csat_rating_received,group_name_history,groups,total_groups,channel_email,channel_phone,classification_PROMOTER,resolved_in_sla_1,first_touch_resolution_1,csat_rated_group_name_Grupo B,csat_rated_group_name_Grupo C,csat_rated_group_name_Grupo D,csat_rated_group_name_Grupo E,csat_rated_group_name_Grupo F,csat_rated_group_name_Grupo G,csat_rated_group_name_Grupo H,csat_rated_group_name_Grupo I,csat_rated_group_name_Grupo J,issue_classification_Balance Inquiry,issue_classification_Card Issues,issue_classification_Fees Inquiry,issue_classification_Fraud Report,issue_classification_General Inquiry,issue_classification_Loan Inquiry,issue_classification_Login Problems,issue_classification_Payment Issues,issue_classification_Transaction Error,Key,Tipo_Outlier,Metodo_Seleccionado
CASE-19562,2024-11-20,2024-11-17,2024-11-01,The chatbot crashed when I asked about my loan.,negative,2,64,1,"Grupo B,Grupo J,Grupo F,Grupo H",4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,CASE-19562,Superior,MinCovDet
CASE-23622,2022-07-13,2022-07-10,2022-07-01,Email support didn’t bother to read my email.,negative,2,2312,1,"Grupo F,Grupo B,Grupo G",3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,CASE-23622,Superior,MinCovDet
CASE-17296,2023-12-03,2023-12-03,2023-12-01,Phone support was the worst I’ve ever experienced.,negative,1,5390,1,"Grupo D,Grupo B,Grupo E",3,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-17296,Superior,MinCovDet
CASE-24413,2023-05-20,2023-05-14,2023-05-01,The phone team made me wait and then hung up.,negative,1,2627,1,"Grupo E,Grupo E,Grupo H",2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,CASE-24413,Superior,MinCovDet
CASE-19856,2023-06-02,2023-05-28,2023-06-01,The email team took forever and didn’t help.,negative,2,43,1,"Grupo J,Grupo H,Grupo D,Grupo E",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CASE-19856,Superior,MinCovDet
CASE-24324,2022-02-07,2022-02-06,2022-02-01,The chatbot couldn’t reset my PIN properly.,negative,2,3404,1,"Grupo F,Grupo C,Grupo H",3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CASE-24324,Superior,MinCovDet
CASE-20682,2023-02-27,2023-02-26,2023-02-01,The chatbot gave me incorrect balance info.,negative,2,2148,1,"Grupo H,Grupo J,Grupo A",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-20682,Superior,MinCovDet
CASE-29810,2023-12-14,2023-12-10,2023-12-01,The email response was generic and useless.,negative,1,3709,1,"Grupo I,Grupo I,Grupo C,Grupo A",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CASE-29810,Superior,MinCovDet
CASE-19563,2025-01-05,2025-01-05,2025-01-01,The email team ignored my urgent request.,negative,2,50,1,"Grupo H,Grupo G,Grupo E,Grupo C",4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CASE-19563,Superior,MinCovDet
CASE-27474,2024-11-06,2024-11-03,2024-11-01,The chatbot failed to reset my password correctly.,negative,2,139,1,"Grupo F,Grupo I,Grupo G,Grupo D,Grupo G",4,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,CASE-27474,Superior,MinCovDet
CASE-29423,2023-10-19,2023-10-15,2023-10-01,The phone agent didn’t understand my issue.,negative,1,3341,1,"Grupo C,Grupo F,Grupo H,Grupo J,Grupo C",4,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-29423,Superior,MinCovDet
CASE-28384,2023-07-29,2023-07-23,2023-07-01,The phone agent didn’t listen to my complaint.,negative,1,5349,2,"Grupo B,Grupo G,Grupo D,Grupo C",4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-28384,Superior,MinCovDet
CASE-25886,2022-02-28,2022-02-27,2022-02-01,The phone agent hung up on me mid-conversation.,negative,1,2730,1,"Grupo D,Grupo G,Grupo D",2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-25886,Superior,MinCovDet
CASE-18950,2024-01-23,2024-01-21,2024-01-01,The phone agent refused to escalate my issue.,negative,1,4113,1,"Grupo A,Grupo D,Grupo A,Grupo C",3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CASE-18950,Superior,MinCovDet
CASE-19200,2022-11-05,2022-10-30,2022-11-01,The chatbot couldn’t reset my PIN properly.,negative,2,6228,2,"Grupo D,Grupo I,Grupo A,Grupo G",4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,CASE-19200,Superior,MinCovDet
CASE-15030,2023-09-29,2023-09-24,2023-09-01,The phone agent didn’t understand my issue.,negative,2,3042,2,"Grupo A,Grupo G,Grupo A,Grupo E",3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-15030,Superior,MinCovDet
CASE-21729,2022-12-03,2022-11-27,2022-12-01,The email team took too long to fix my login issue.,negative,2,5449,2,"Grupo B,Grupo G,Grupo F",3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-21729,Superior,MinCovDet
CASE-17721,2022-10-20,2022-10-16,2022-10-01,The chatbot couldn’t handle my simple transfer request.,negative,1,3508,1,"Grupo B,Grupo C,Grupo C",2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-17721,Superior,MinCovDet
CASE-23701,2024-03-02,2024-02-25,2024-03-01,The phone agent refused to escalate my issue.,negative,1,62,1,"Grupo F,Grupo G,Grupo I,Grupo C",4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CASE-23701,Superior,MinCovDet
CASE-18348,2022-05-10,2022-05-08,2022-05-01,The email response was delayed and unhelpful.,negative,1,6884,1,"Grupo A,Grupo G",2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,CASE-18348,Superior,MinCovDet
CASE-29247,2024-06-28,2024-06-23,2024-06-01,The chatbot couldn’t assist with my bill payment.,negative,1,3752,2,"Grupo J,Grupo J,Grupo E,Grupo C",3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-29247,Superior,MinCovDet
CASE-19019,2022-05-06,2022-05-01,2022-05-01,Email support was slow and didn’t solve anything.,negative,2,1952,2,"Grupo A,Grupo I,Grupo E,Grupo A",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CASE-19019,Superior,MinCovDet
CASE-23086,2023-09-18,2023-09-17,2023-09-01,The phone agent didn’t know basic banking info.,negative,1,4788,2,"Grupo D,Grupo J,Grupo A,Grupo E,Grupo C",5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CASE-23086,Superior,MinCovDet
CASE-16391,2024-06-01,2024-05-26,2024-06-01,The phone team was incompetent and slow.,negative,1,5819,2,"Grupo C,Grupo J,Grupo D,Grupo H",4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CASE-16391,Superior,MinCovDet
CASE-26795,2023-10-31,2023-10-29,2023-10-01,The chatbot couldn’t assist with my statement.,negative,1,4556,1,"Grupo A,Grupo B",2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-26795,Superior,MinCovDet
CASE-26071,2024-12-13,2024-12-08,2024-12-01,The phone agent didn’t listen to my complaint.,negative,2,2777,1,"Grupo I,Grupo J,Grupo E",3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-26071,Superior,MinCovDet
CASE-29328,2023-07-03,2023-07-02,2023-07-01,The email response was generic and useless.,negative,1,79,1,"Grupo F,Grupo D,Grupo E,Grupo E",3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-29328,Superior,MinCovDet
CASE-24662,2023-02-16,2023-02-12,2023-02-01,The chatbot gave me wrong payment instructions.,negative,2,52,1,"Grupo C,Grupo J,Grupo H,Grupo G",4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,CASE-24662,Superior,MinCovDet
CASE-27475,2024-12-19,2024-12-15,2024-12-01,The phone team was incompetent and slow.,negative,1,27,1,"Grupo F,Grupo I,Grupo F,Grupo C,Grupo H",4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,CASE-27475,Superior,MinCovDet
CASE-28850,2022-09-29,2022-09-25,2022-09-01,The phone agent didn’t even try to assist me.,negative,2,7769,1,"Grupo H,Grupo D,Grupo J,Grupo J",3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,CASE-28850,Superior,MinCovDet
CASE-26247,2023-07-28,2023-07-23,2023-07-01,The chatbot couldn’t reset my PIN properly.,negative,2,4311,2,"Grupo I,Grupo I,Grupo F",2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,CASE-26247,Superior,MinCovDet
CASE-23023,2024-12-28,2024-12-22,2024-12-01,The chatbot kept freezing during my inquiry.,negative,2,3685,1,"Grupo G,Grupo G,Grupo C,Grupo H",3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,CASE-23023,Superior,MinCovDet
CASE-18032,2024-02-17,2024-02-11,2024-02-01,The phone team was rude and hung up on me.,negative,2,4460,2,"Grupo F,Grupo C,Grupo H",3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CASE-18032,Superior,MinCovDet
CASE-28020,2022-01-16,2022-01-16,2022-01-01,The email team didn’t fix my login problem.,negative,2,6241,1,"Grupo D,Grupo E,Grupo G,Grupo E",3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-28020,Superior,MinCovDet
CASE-29584,2022-12-17,2022-12-11,2022-12-01,The chatbot kept crashing when I needed help.,negative,1,3555,1,"Grupo B,Grupo G,Grupo F,Grupo G,Grupo B",3,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-29584,Superior,MinCovDet
CASE-28071,2024-02-27,2024-02-25,2024-02-01,The chatbot couldn’t handle my payment issue.,negative,1,4562,2,"Grupo I,Grupo B,Grupo A,Grupo C",4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CASE-28071,Superior,MinCovDet
CASE-26060,2023-06-23,2023-06-18,2023-06-01,Email support was rude and unprofessional.,negative,2,2060,1,"Grupo J,Grupo I,Grupo A,Grupo F",4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-26060,Superior,MinCovDet
CASE-26705,2024-10-31,2024-10-27,2024-10-01,The email response was rude and dismissive.,negative,1,68,1,"Grupo H,Grupo C,Grupo B,Grupo F",4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-26705,Superior,MinCovDet
CASE-19281,2022-06-13,2022-06-12,2022-06-01,The phone agent was rude and didn’t solve my issue.,negative,2,44,1,"Grupo J,Grupo A,Grupo H,Grupo E,Grupo G",5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,CASE-19281,Superior,MinCovDet
CASE-18625,2024-12-14,2024-12-08,2024-12-01,The chatbot failed to help with my balance inquiry.,negative,2,74,1,"Grupo H,Grupo I,Grupo A,Grupo F,Grupo G",5,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,CASE-18625,Superior,MinCovDet
CASE-27889,2025-01-12,2025-01-12,2025-01-01,The phone agent gave me conflicting information.,negative,2,2325,1,"Grupo C,Grupo G,Grupo F,Grupo J",4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,CASE-27889,Superior,MinCovDet
CASE-21922,2022-07-04,2022-07-03,2022-07-01,The chatbot misunderstood my loan inquiry completely.,negative,1,4216,2,"Grupo J,Grupo G,Grupo E,Grupo B",4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CASE-21922,Superior,MinCovDet
CASE-25597,2024-11-05,2024-11-03,2024-11-01,Email support was rude and unprofessional.,negative,2,4330,1,"Grupo H,Grupo G,Grupo C",3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-25597,Superior,MinCovDet
CASE-18441,2023-04-04,2023-04-02,2023-04-01,Email support didn’t even read my message properly.,negative,2,6952,1,"Grupo G,Grupo F,Grupo E,Grupo D",4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-18441,Superior,MinCovDet
CASE-17242,2024-03-04,2024-03-03,2024-03-01,The email team took forever and didn’t help.,negative,1,70,1,"Grupo H,Grupo G,Grupo C,Grupo F",4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,CASE-17242,Superior,MinCovDet
CASE-24693,2024-01-27,2024-01-21,2024-01-01,The chatbot failed to help with my balance inquiry.,negative,1,6541,1,"Grupo I,Grupo E,Grupo H,Grupo H",3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CASE-24693,Superior,MinCovDet
CASE-28682,2023-07-27,2023-07-23,2023-07-01,The chatbot gave me wrong info about my account.,negative,2,77,1,"Grupo A,Grupo J,Grupo G,Grupo A",3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-28682,Superior,MinCovDet
CASE-21968,2023-05-05,2023-04-30,2023-05-01,Phone support was rude and disconnected me.,negative,2,1911,1,"Grupo H,Grupo B,Grupo A,Grupo D",4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CASE-21968,Superior,MinCovDet
CASE-21028,2022-12-03,2022-11-27,2022-12-01,The phone agent hung up on me mid-conversation.,negative,1,3977,2,"Grupo H,Grupo E,Grupo E,Grupo F",3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,CASE-21028,Superior,MinCovDet
CASE-28794,2024-03-26,2024-03-24,2024-03-01,Email support was slow and didn’t solve anything.,negative,2,1813,2,"Grupo H,Grupo C,Grupo I,Grupo J,Grupo B",5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-28794,Superior,MinCovDet
CASE-28433,2023-06-30,2023-06-25,2023-06-01,Email support didn’t even try to fix my issue.,negative,2,4259,2,"Grupo D,Grupo E,Grupo F,Grupo A",4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CASE-28433,Superior,MinCovDet
CASE-23226,2022-10-21,2022-10-16,2022-10-01,The phone agent didn’t even try to assist me.,negative,1,2579,1,"Grupo C,Grupo J,Grupo H,Grupo G",4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,CASE-23226,Superior,MinCovDet
CASE-26733,2024-01-31,2024-01-28,2024-01-01,Email support didn’t bother to read my email.,negative,1,76,1,"Grupo J,Grupo B,Grupo F,Grupo I",4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,CASE-26733,Superior,MinCovDet
CASE-20598,2024-07-25,2024-07-21,2024-07-01,The phone team didn’t solve my transfer problem.,negative,1,5169,1,"Grupo F,Grupo G,Grupo C,Grupo B",4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CASE-20598,Superior,MinCovDet
CASE-26803,2023-03-09,2023-03-05,2023-03-01,"Email support was terrible, they ignored me.",negative,2,5283,1,"Grupo H,Grupo H,Grupo E",2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CASE-26803,Superior,MinCovDet
CASE-23840,2022-12-26,2022-12-25,2022-12-01,The chatbot crashed when I tried to check my balance.,negative,2,4639,2,"Grupo G,Grupo F,Grupo A",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CASE-23840,Superior,MinCovDet
CASE-26082,2022-12-24,2022-12-18,2022-12-01,The phone team was unprofessional and unhelpful.,negative,2,67,2,"Grupo E,Grupo J,Grupo E,Grupo B,Grupo F",4,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CASE-26082,Superior,MinCovDet
CASE-25855,2023-09-17,2023-09-17,2023-09-01,Phone support was disrespectful and unhelpful.,negative,2,2201,1,"Grupo A,Grupo B,Grupo E",3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CASE-25855,Superior,MinCovDet
CASE-25564,2023-01-01,2023-01-01,2023-01-01,The phone agent was rude and didn’t solve my issue.,negative,1,4155,2,"Grupo G,Grupo F,Grupo I",3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,CASE-25564,Superior,MinCovDet
CASE-16563,2024-05-02,2024-04-28,2024-05-01,The email response was vague and unhelpful.,negative,1,7602,1,"Grupo A,Grupo E,Grupo I,Grupo C",4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CASE-16563,Superior,MinCovDet
CASE-27188,2022-07-27,2022-07-24,2022-07-01,The phone agent didn’t understand my issue.,negative,1,25,1,"Grupo E,Grupo C,Grupo G,Grupo F,Grupo I",5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,CASE-27188,Superior,MinCovDet
CASE-21347,2022-12-06,2022-12-04,2022-12-01,The phone agent was rude and didn’t solve my issue.,negative,2,3934,1,"Grupo E,Grupo H",2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CASE-21347,Superior,MinCovDet
CASE-19658,2024-03-08,2024-03-03,2024-03-01,Email support was rude and unprofessional.,negative,2,3718,1,"Grupo D,Grupo E,Grupo F",3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,CASE-19658,Superior,MinCovDet
CASE-23744,2024-09-20,2024-09-15,2024-09-01,The phone agent was clueless about my account.,negative,1,53,1,"Grupo E,Grupo A,Grupo C,Grupo B,Grupo B",4,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CASE-23744,Superior,MinCovDet
CASE-25071,2022-08-20,2022-08-14,2022-08-01,The chatbot gave me wrong info about my account.,negative,2,5387,2,"Grupo F,Grupo A",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-25071,Superior,MinCovDet
CASE-26951,2022-06-01,2022-05-29,2022-06-01,"Phone support was terrible, they wasted my time.",negative,1,4141,2,"Grupo F,Grupo I,Grupo F,Grupo J",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,CASE-26951,Superior,MinCovDet
CASE-16367,2024-05-10,2024-05-05,2024-05-01,The email response was delayed and unhelpful.,negative,2,6791,1,"Grupo G,Grupo B,Grupo E",3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-16367,Superior,MinCovDet
CASE-27165,2025-02-17,2025-02-16,2025-02-01,The chatbot gave me outdated info about my fees.,negative,1,28,1,"Grupo J,Grupo A,Grupo H,Grupo D,Grupo J",4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,CASE-27165,Superior,MinCovDet
CASE-17807,2024-07-27,2024-07-21,2024-07-01,The chatbot kept freezing during my inquiry.,negative,1,74,1,"Grupo A,Grupo A,Grupo E,Grupo H,Grupo E",3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-17807,Superior,MinCovDet
CASE-15948,2024-06-03,2024-06-02,2024-06-01,The email team didn’t care about my problem.,negative,1,6757,2,"Grupo D,Grupo B,Grupo G",3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CASE-15948,Superior,MinCovDet
CASE-21811,2022-04-05,2022-04-03,2022-04-01,The chatbot couldn’t help with my card replacement.,negative,1,4841,1,Grupo B,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CASE-21811,Superior,MinCovDet
CASE-23728,2024-08-14,2024-08-11,2024-08-01,The phone representative was unhelpful and impatient.,negative,1,43,1,"Grupo I,Grupo F,Grupo J,Grupo G",4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CASE-23728,Superior,MinCovDet
CASE-15780,2022-03-29,2022-03-27,2022-03-01,The email team didn’t care about my problem.,negative,2,5808,2,"Grupo J,Grupo F,Grupo D",3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-15780,Superior,MinCovDet
CASE-29273,2023-07-07,2023-07-02,2023-07-01,The phone agent was impatient and rude.,negative,2,81,1,"Grupo E,Grupo B,Grupo A,Grupo B",3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-29273,Superior,MinCovDet
CASE-28193,2024-11-27,2024-11-24,2024-11-01,The chatbot gave me useless info about my card.,negative,1,117,1,"Grupo B,Grupo F,Grupo C,Grupo E",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-28193,Superior,MinCovDet
CASE-24469,2022-12-23,2022-12-18,2022-12-01,Email support was a complete letdown.,negative,2,7493,1,"Grupo J,Grupo D,Grupo B",3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CASE-24469,Superior,MinCovDet
CASE-28809,2023-04-15,2023-04-09,2023-04-01,The email team took days to reply with nothing useful.,negative,2,3818,2,"Grupo B,Grupo B,Grupo H,Grupo H,Grupo E",3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CASE-28809,Superior,MinCovDet
CASE-26992,2023-01-12,2023-01-08,2023-01-01,The phone team made me wait and then hung up.,negative,2,127,2,"Grupo D,Grupo F,Grupo F,Grupo D,Grupo C",3,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-26992,Superior,MinCovDet
CASE-18446,2022-07-19,2022-07-17,2022-07-01,The email team sent me a reply that made no sense.,negative,1,4046,2,"Grupo J,Grupo J,Grupo J,Grupo C,Grupo A",3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-18446,Superior,MinCovDet
CASE-26069,2025-02-09,2025-02-09,2025-02-01,The chatbot crashed when I asked about my loan.,negative,1,6576,1,"Grupo H,Grupo I,Grupo D",3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-26069,Superior,MinCovDet
CASE-26683,2023-12-01,2023-11-26,2023-12-01,The chatbot couldn’t handle my payment issue.,negative,1,3523,1,"Grupo A,Grupo B",2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CASE-26683,Superior,MinCovDet
CASE-25748,2023-05-03,2023-04-30,2023-05-01,I had a horrible experience with the phone support.,negative,1,4062,1,"Grupo I,Grupo H,Grupo G",3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,CASE-25748,Superior,MinCovDet
CASE-24507,2022-04-30,2022-04-24,2022-04-01,Email support was slow and didn’t solve anything.,negative,2,7838,1,"Grupo A,Grupo H,Grupo A,Grupo F",3,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-24507,Superior,MinCovDet
CASE-16553,2022-01-09,2022-01-09,2022-01-01,The chatbot gave me irrelevant answers every time.,negative,2,6531,1,"Grupo E,Grupo F,Grupo J,Grupo J",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,CASE-16553,Superior,MinCovDet
CASE-19533,2023-09-15,2023-09-10,2023-09-01,The email response was vague and frustrating.,negative,2,4235,2,"Grupo D,Grupo B,Grupo C,Grupo D",3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-19533,Superior,MinCovDet
CASE-16218,2022-04-03,2022-04-03,2022-04-01,"The service was slow, and my issue is still unresolved.",negative,2,3620,2,"Grupo D,Grupo C,Grupo J",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,CASE-16218,Superior,MinCovDet
CASE-22273,2023-07-30,2023-07-30,2023-07-01,The phone agent was unhelpful with my fees.,negative,2,5786,1,"Grupo F,Grupo J",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,CASE-22273,Superior,MinCovDet
CASE-17048,2023-10-17,2023-10-15,2023-10-01,The phone agent didn’t even try to assist me.,negative,1,4209,1,"Grupo E,Grupo A,Grupo F,Grupo A",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-17048,Superior,MinCovDet
CASE-16839,2025-02-03,2025-02-02,2025-02-01,The email team took too long to fix my login issue.,negative,1,4139,1,"Grupo I,Grupo J,Grupo A",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CASE-16839,Superior,MinCovDet
CASE-23603,2022-07-21,2022-07-17,2022-07-01,The phone agent hung up on me mid-conversation.,negative,1,118,1,"Grupo C,Grupo D,Grupo D,Grupo H,Grupo B",4,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-23603,Superior,MinCovDet
CASE-19240,2024-04-08,2024-04-07,2024-04-01,The phone agent was rude and didn’t solve my issue.,negative,1,90,1,"Grupo I,Grupo G,Grupo H,Grupo F",4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CASE-19240,Superior,MinCovDet
CASE-18016,2022-08-21,2022-08-21,2022-08-01,Email support was slow and totally useless.,negative,1,3580,1,"Grupo J,Grupo F,Grupo B,Grupo A",4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CASE-18016,Superior,MinCovDet
CASE-24416,2023-08-22,2023-08-20,2023-08-01,The email response was rude and incomplete.,negative,2,3966,2,"Grupo H,Grupo G,Grupo F,Grupo J,Grupo G",4,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CASE-24416,Superior,MinCovDet
