CASE ID;Date;Start of Week;Start of Month;TRANSLATED COMMENTS;Feeling;FEEL;CHANNEL;RESOLUTION TIME (min);CSAT Rating Received;CLASSIFICATION;RESOLVED IN SLA;FIRST TOUCH RESOLUTION;Group Name History;Groups;Total Groups;CSAT Rated Group Name;ISSUE CLASSIFICATION
CASE-1964;2024-07-30;2024-07-28;2024-07-01;The email response was late and irrelevant.;negative;negative;chatbot;60;2;DETRACTOR;0;1;Grupo C,Grupo G,Grupo J,Grupo B,Grupo F;5;5;Grupo F;Card Issues
CASE-1051;2023-08-17;2023-08-13;2023-08-01;The email response was delayed and unhelpful.;negative;negative;chatbot;25;1;DETRACTOR;0;0;Grupo B,Grupo G;2;2;Grupo G;Payment Issues
CASE-1172;2025-05-27;2025-05-25;2025-05-01;The chatbot failed to help with my balance inquiry.;negative;negative;phone;142;2;DETRACTOR;0;0;Grupo E,Grupo B,Grupo H;3;3;Grupo H;Payment Issues
CASE-1996;2025-06-10;2025-06-08;2025-06-01;The phone team resolved my overdraft issue professionally.;positive;positive;phone;11;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Fees Inquiry
CASE-1872;2025-12-12;2025-12-07;2025-12-01;The chatbot gave me wrong info about my account.;negative;negative;chatbot;15;1;DETRACTOR;0;0;Grupo D,Grupo I,Grupo D,Grupo J;3;4;Grupo J;Transaction Error
CASE-1883;2024-06-26;2024-06-23;2024-06-01;The phone team resolved my overdraft issue professionally.;positive;positive;email;63;4;PROMOTER;1;1;Grupo J,Grupo B;2;2;Grupo B;Loan Inquiry
CASE-1934;2024-02-18;2024-02-18;2024-02-01;The chatbot made checking my interest rates so simple.;positive;positive;chatbot;4;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Balance Inquiry
CASE-1296;2024-02-23;2024-02-18;2024-02-01;The email response was thorough and resolved my question.;positive;positive;chatbot;3;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Card Issues
CASE-1322;2025-01-18;2025-01-12;2025-01-01;Phone support was disrespectful and unhelpful.;negative;negative;chatbot;38;1;DETRACTOR;0;1;Grupo D,Grupo A,Grupo E;3;3;Grupo E;Balance Inquiry
CASE-1167;2023-06-05;2023-06-04;2023-06-01;The chatbot couldn’t help with my card replacement.;negative;negative;chatbot;37;1;DETRACTOR;0;0;Grupo H,Grupo C;2;2;Grupo C;Fraud Report
CASE-1730;2025-03-07;2025-03-02;2025-03-01;Email support was average, not bad or good.;neutral;neutral;chatbot;27;4;PROMOTER;0;0;Grupo J,Grupo C,Grupo J,Grupo J;2;4;Grupo J;Account Setup
CASE-1279;2024-05-03;2024-04-28;2024-05-01;I had a wonderful experience opening my account via phone.;positive;positive;chatbot;8;5;PROMOTER;1;1;Grupo H,Grupo C;2;2;Grupo C;Loan Inquiry
CASE-1195;2024-01-06;2023-12-31;2024-01-01;The phone agent didn’t even try to assist me.;negative;negative;chatbot;31;2;DETRACTOR;0;0;Grupo E,Grupo I;2;2;Grupo I;Transaction Error
CASE-1775;2025-07-20;2025-07-20;2025-07-01;The email support team was professional and courteous.;positive;positive;phone;11;4;PROMOTER;1;1;Grupo D,Grupo H;2;2;Grupo H;Transaction Error
CASE-1001;2024-05-06;2024-05-05;2024-05-01;The chatbot was a lifesaver when I needed to block my card.;positive;positive;phone;22;4;PROMOTER;1;1;Grupo J,Grupo H;2;2;Grupo H;Card Issues
CASE-1044;2025-09-17;2025-09-14;2025-09-01;The phone team made my experience so pleasant today.;positive;positive;email;146;4;PROMOTER;1;0;Grupo G;1;1;Grupo G;Login Problems
CASE-1685;2023-09-21;2023-09-17;2023-09-01;The phone agent fixed my issue with a great attitude.;positive;positive;chatbot;1;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Loan Inquiry
CASE-1139;2024-06-27;2024-06-23;2024-06-01;The chatbot assisted with my account setup smoothly.;positive;positive;chatbot;1;4;PROMOTER;1;1;Grupo H,Grupo J;2;2;Grupo J;Loan Inquiry
CASE-1791;2024-08-18;2024-08-18;2024-08-01;The phone agent didn’t understand my issue.;negative;negative;phone;46;2;DETRACTOR;0;0;Grupo C,Grupo I,Grupo J,Grupo H;4;4;Grupo H;Balance Inquiry
CASE-1643;2024-09-25;2024-09-22;2024-09-01;The chatbot answered my loan question in seconds.;positive;positive;phone;9;5;PROMOTER;1;1;Grupo H,Grupo A,Grupo D;3;3;Grupo D;Login Problems
CASE-1221;2024-08-26;2024-08-25;2024-08-01;The chatbot couldn’t assist with my statement.;negative;negative;chatbot;89;2;DETRACTOR;0;0;Grupo B,Grupo B,Grupo D;2;3;Grupo D;Card Issues
CASE-1847;2024-02-12;2024-02-11;2024-02-01;The phone agent fixed my issue with a great attitude.;positive;positive;email;136;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Loan Inquiry
CASE-1539;2024-06-11;2024-06-09;2024-06-01;The email response was clear and solved my problem.;positive;positive;chatbot;9;5;PROMOTER;1;1;Grupo C,Grupo E;2;2;Grupo E;Payment Issues
CASE-1612;2024-04-09;2024-04-07;2024-04-01;The email team didn’t address my issue at all.;negative;negative;phone;93;2;DETRACTOR;0;0;Grupo H,Grupo E;2;2;Grupo E;General Inquiry
CASE-1991;2024-06-27;2024-06-23;2024-06-01;The phone team was rude and hung up on me.;negative;negative;chatbot;59;1;DETRACTOR;0;1;Grupo A,Grupo J;2;2;Grupo J;Login Problems
CASE-1971;2025-01-29;2025-01-26;2025-01-01;The chatbot assisted me with my savings account inquiry perfectly.;positive;positive;email;193;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Card Issues
CASE-1701;2023-01-02;2023-01-01;2023-01-01;The phone agent hung up on me mid-conversation.;negative;negative;chatbot;21;2;DETRACTOR;0;0;Grupo G;1;1;Grupo G;Transaction Error
CASE-1871;2023-10-17;2023-10-15;2023-10-01;The phone team was professional and handled my request well.;positive;positive;email;196;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Payment Issues
CASE-1063;2025-06-24;2025-06-22;2025-06-01;Quick and friendly service, my card issue was sorted out fast.;positive;positive;phone;37;4;PROMOTER;0;1;Grupo C,Grupo H,Grupo G;3;3;Grupo G;Account Setup
CASE-1830;2023-07-23;2023-07-23;2023-07-01;The chatbot misunderstood my loan inquiry completely.;negative;negative;phone;126;2;DETRACTOR;0;0;Grupo H,Grupo A,Grupo A;2;3;Grupo A;Account Setup
CASE-1969;2023-08-22;2023-08-20;2023-08-01;The phone team was incompetent and slow.;negative;negative;phone;32;1;DETRACTOR;0;1;Grupo I,Grupo E,Grupo D,Grupo A;4;4;Grupo A;Payment Issues
CASE-1349;2024-09-15;2024-09-15;2024-09-01;Phone support was excellent, they helped me with my statement.;positive;positive;email;208;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Loan Inquiry
CASE-1814;2024-05-25;2024-05-19;2024-05-01;The chatbot made my experience so convenient!;positive;positive;chatbot;1;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Account Setup
CASE-1363;2024-01-08;2024-01-07;2024-01-01;The phone agent didn’t care about my complaint.;negative;negative;phone;39;1;DETRACTOR;0;0;Grupo B;1;1;Grupo B;Login Problems
CASE-1330;2024-09-26;2024-09-22;2024-09-01;The phone team was slow and didn’t care.;negative;negative;chatbot;73;2;DETRACTOR;0;0;Grupo H,Grupo D,Grupo F,Grupo C;4;4;Grupo C;Card Issues
CASE-1973;2023-08-30;2023-08-27;2023-08-01;The chatbot helped me with my account balance quickly.;positive;positive;chatbot;6;5;PROMOTER;1;1;Grupo A,Grupo E;2;2;Grupo E;Payment Issues
CASE-1090;2025-10-06;2025-10-05;2025-10-01;I got a fast and friendly response via email, great job!;positive;positive;email;201;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Login Problems
CASE-1426;2023-12-31;2023-12-31;2023-12-01;Phone support was slow and didn’t fix my card issue.;negative;negative;email;2957;2;DETRACTOR;0;0;Grupo C,Grupo J,Grupo H;3;3;Grupo H;Transaction Error
CASE-1542;2023-06-26;2023-06-25;2023-06-01;The agent was very helpful and resolved my issue quickly.;positive;positive;chatbot;9;5;PROMOTER;1;1;Grupo G,Grupo E;2;2;Grupo E;Payment Issues
CASE-1641;2024-10-05;2024-09-29;2024-10-01;Email support was slow and didn’t solve anything.;negative;negative;phone;32;2;DETRACTOR;0;0;Grupo E,Grupo F,Grupo H;3;3;Grupo H;Account Setup
CASE-1374;2023-02-12;2023-02-12;2023-02-01;The email response was rude and dismissive.;negative;negative;chatbot;18;2;DETRACTOR;0;0;Grupo G,Grupo J,Grupo E;3;3;Grupo E;Transaction Error
CASE-1611;2025-02-01;2025-01-26;2025-02-01;The phone agent didn’t even try to assist me.;negative;negative;chatbot;17;2;DETRACTOR;0;0;Grupo E,Grupo A,Grupo G;3;3;Grupo G;Card Issues
CASE-1269;2024-12-18;2024-12-15;2024-12-01;Email support was reliable and resolved my concern.;positive;positive;phone;5;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Card Issues
CASE-1011;2023-09-28;2023-09-24;2023-09-01;Email support made resolving my issue so easy.;positive;positive;email;237;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Card Issues
CASE-1425;2025-11-11;2025-11-09;2025-11-01;The phone team was courteous and fixed my issue instantly.;positive;positive;chatbot;5;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Account Setup
CASE-1329;2025-10-28;2025-10-26;2025-10-01;The phone agent hung up on me mid-conversation.;negative;negative;phone;83;1;DETRACTOR;0;0;Grupo I,Grupo G,Grupo A;3;3;Grupo A;Fraud Report
CASE-1386;2023-02-04;2023-01-29;2023-02-01;Phone support was terrible, they wasted my time.;negative;negative;chatbot;83;2;DETRACTOR;0;0;Grupo G,Grupo F,Grupo I,Grupo J;4;4;Grupo J;Login Problems
CASE-1397;2025-02-14;2025-02-09;2025-02-01;Email support was okay, not impressive.;neutral;neutral;chatbot;41;4;PROMOTER;0;1;Grupo H,Grupo D,Grupo A;3;3;Grupo A;Loan Inquiry
CASE-1776;2025-05-18;2025-05-18;2025-05-01;The phone agent fixed my issue with a great attitude.;positive;positive;phone;12;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Loan Inquiry
CASE-1822;2023-01-31;2023-01-29;2023-01-01;The email response was vague and unhelpful.;negative;negative;email;2935;1;DETRACTOR;0;1;Grupo E,Grupo A,Grupo D;3;3;Grupo D;Fraud Report
CASE-1379;2023-11-09;2023-11-05;2023-11-01;Email support didn’t even try to fix my issue.;negative;negative;chatbot;53;1;DETRACTOR;0;0;Grupo F,Grupo B,Grupo H;3;3;Grupo H;Card Issues
CASE-1648;2024-04-24;2024-04-21;2024-04-01;I got a fast and friendly response via email, great job!;positive;positive;email;141;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Card Issues
CASE-1659;2025-10-06;2025-10-05;2025-10-01;The chatbot crashed during my transaction query.;negative;negative;phone;90;1;DETRACTOR;0;0;Grupo B,Grupo H;2;2;Grupo H;Payment Issues
CASE-1350;2023-06-21;2023-06-18;2023-06-01;Email support exceeded my expectations with their quick reply.;positive;positive;chatbot;4;4;PROMOTER;1;1;Grupo C,Grupo D;2;2;Grupo D;Payment Issues
CASE-1582;2024-03-15;2024-03-10;2024-03-01;The chatbot answered all my questions perfectly, amazing!;positive;positive;phone;14;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Loan Inquiry
CASE-1115;2025-04-23;2025-04-20;2025-04-01;The chatbot was alright with my transfer query.;neutral;neutral;phone;29;4;PROMOTER;1;0;Grupo E;1;1;Grupo E;Account Setup
CASE-1538;2023-07-25;2023-07-23;2023-07-01;Phone support was okay, nothing remarkable.;neutral;neutral;chatbot;12;3;DETRACTOR;0;0;Grupo J;1;1;Grupo J;Transaction Error
CASE-1377;2023-03-28;2023-03-26;2023-03-01;Email support was fair, nothing special.;neutral;neutral;chatbot;12;3;DETRACTOR;0;0;Grupo A,Grupo E;2;2;Grupo E;Loan Inquiry
CASE-1021;2024-08-09;2024-08-04;2024-08-01;The phone team didn’t solve my transfer problem.;negative;negative;email;4107;1;DETRACTOR;0;0;Grupo E,Grupo E;1;2;Grupo E;Fraud Report
CASE-1763;2025-03-26;2025-03-23;2025-03-01;Email support was excellent and very responsive.;positive;positive;phone;29;5;PROMOTER;1;1;Grupo J,Grupo B,Grupo C;3;3;Grupo C;Balance Inquiry
CASE-1465;2023-02-22;2023-02-19;2023-02-01;The chatbot made paying my bill so easy and fast.;positive;positive;email;217;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-1599;2025-07-27;2025-07-27;2025-07-01;The email team was neutral, response was fine.;neutral;neutral;phone;82;3;DETRACTOR;0;1;Grupo J,Grupo E,Grupo J,Grupo E;2;4;Grupo E;Card Issues
CASE-1693;2023-05-11;2023-05-07;2023-05-01;The chatbot made my experience so convenient!;positive;positive;phone;12;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Loan Inquiry
CASE-1312;2023-08-12;2023-08-06;2023-08-01;The phone team was alright, no big deal.;neutral;neutral;email;1344;3;DETRACTOR;1;0;Grupo C;1;1;Grupo C;Payment Issues
CASE-1605;2025-12-05;2025-11-30;2025-12-01;The email team responded promptly and solved my issue.;positive;positive;email;423;5;PROMOTER;1;1;Grupo A,Grupo D;2;2;Grupo D;Balance Inquiry
CASE-1598;2025-01-21;2025-01-19;2025-01-01;The phone agent was patient and solved my problem.;positive;positive;chatbot;5;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Login Problems
CASE-1395;2023-10-04;2023-10-01;2023-10-01;The service was top-notch, I’m so happy with this bank!;positive;positive;phone;12;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Loan Inquiry
CASE-1402;2025-12-16;2025-12-14;2025-12-01;The chatbot couldn’t handle my simple question.;negative;negative;email;3773;1;DETRACTOR;0;0;Grupo E,Grupo B;2;2;Grupo B;Transaction Error
CASE-1644;2025-07-27;2025-07-27;2025-07-01;Email support was reliable and resolved my concern.;positive;positive;phone;15;5;PROMOTER;1;1;Grupo B,Grupo G;2;2;Grupo G;Loan Inquiry
CASE-1848;2025-07-29;2025-07-27;2025-07-01;I waited on hold for an hour, this is unacceptable.;negative;negative;email;3016;1;DETRACTOR;0;0;Grupo J,Grupo F,Grupo H;3;3;Grupo H;Fraud Report
CASE-1324;2023-09-10;2023-09-10;2023-09-01;The chatbot assisted me with my card replacement smoothly.;positive;positive;email;457;5;PROMOTER;1;1;Grupo B,Grupo I;2;2;Grupo I;Payment Issues
CASE-1109;2023-08-06;2023-08-06;2023-08-01;Phone support was slow and didn’t fix my card issue.;negative;negative;chatbot;19;1;DETRACTOR;0;0;Grupo A,Grupo E,Grupo H,Grupo C;4;4;Grupo C;Login Problems
CASE-1190;2025-01-07;2025-01-05;2025-01-01;Phone support was disrespectful and unhelpful.;negative;negative;email;1899;1;DETRACTOR;0;1;Grupo C,Grupo E,Grupo A;3;3;Grupo A;Transaction Error
CASE-1911;2023-10-02;2023-10-01;2023-10-01;The email team sent me a reply that made no sense.;negative;negative;chatbot;17;2;DETRACTOR;0;0;Grupo C,Grupo H;2;2;Grupo H;Card Issues
CASE-1131;2025-04-11;2025-04-06;2025-04-01;The email team took too long to fix my login issue.;negative;negative;chatbot;59;1;DETRACTOR;0;1;Grupo B,Grupo J,Grupo H;3;3;Grupo H;Card Issues
CASE-1567;2024-10-31;2024-10-27;2024-10-01;The email response was prompt and very clear.;positive;positive;phone;11;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Card Issues
CASE-1800;2025-12-22;2025-12-21;2025-12-01;The chatbot failed to assist with my rewards query.;negative;negative;chatbot;70;1;DETRACTOR;0;0;Grupo E,Grupo I,Grupo B;3;3;Grupo B;Balance Inquiry
CASE-1742;2024-07-08;2024-07-07;2024-07-01;The email response was sloppy and unclear.;negative;negative;chatbot;20;2;DETRACTOR;0;0;Grupo I;1;1;Grupo I;Transaction Error
CASE-1595;2023-04-19;2023-04-16;2023-04-01;The chatbot kept crashing when I needed help.;negative;negative;phone;33;1;DETRACTOR;0;1;Grupo I,Grupo H;2;2;Grupo H;Transaction Error
CASE-1614;2025-06-24;2025-06-22;2025-06-01;Phone support was a disaster, they made it worse!;negative;negative;email;3541;2;DETRACTOR;0;0;Grupo E,Grupo D;2;2;Grupo D;Login Problems
CASE-1974;2024-01-14;2024-01-14;2024-01-01;Phone support was amazing, they handled my complaint well.;positive;positive;email;683;5;PROMOTER;1;1;Grupo B,Grupo H,Grupo F;3;3;Grupo F;Loan Inquiry
CASE-1404;2023-06-24;2023-06-18;2023-06-01;The chatbot was quick to assist with my payment query.;positive;positive;chatbot;4;5;PROMOTER;1;0;Grupo F;1;1;Grupo F;Transaction Error
CASE-1281;2025-04-20;2025-04-20;2025-04-01;Phone support was excellent, they helped me with my statement.;positive;positive;email;171;5;PROMOTER;1;1;Grupo I,Grupo B;2;2;Grupo B;Payment Issues
CASE-1655;2023-10-17;2023-10-15;2023-10-01;The email team didn’t address my issue at all.;negative;negative;chatbot;25;1;DETRACTOR;0;0;Grupo I,Grupo D;2;2;Grupo D;Transaction Error
CASE-1317;2025-12-21;2025-12-21;2025-12-01;The phone agent helped me with my rewards program.;positive;positive;email;386;4;PROMOTER;1;1;Grupo G,Grupo H;2;2;Grupo H;Payment Issues
CASE-1865;2024-12-29;2024-12-29;2024-12-01;The chatbot made paying my bill so easy and fast.;positive;positive;phone;22;4;PROMOTER;1;1;Grupo A,Grupo C;2;2;Grupo C;Card Issues
CASE-1488;2023-03-05;2023-03-05;2023-03-01;The staff made transferring funds so easy and stress-free.;positive;positive;chatbot;2;4;PROMOTER;1;0;Grupo A;1;1;Grupo A;Loan Inquiry
CASE-1486;2025-07-04;2025-06-29;2025-07-01;The chatbot couldn’t help with my card replacement.;negative;negative;phone;120;2;DETRACTOR;0;0;Grupo J,Grupo F,Grupo J;2;3;Grupo J;Payment Issues
CASE-1820;2024-06-04;2024-06-02;2024-06-01;Email support was reliable and resolved my concern.;positive;positive;chatbot;2;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Account Setup
CASE-1910;2023-06-16;2023-06-11;2023-06-01;The chatbot assisted with my account setup smoothly.;positive;positive;phone;10;4;PROMOTER;1;0;Grupo D;1;1;Grupo D;Card Issues
CASE-1487;2023-11-14;2023-11-12;2023-11-01;The chatbot couldn’t reset my PIN properly.;negative;negative;phone;48;2;DETRACTOR;0;0;Grupo C,Grupo B;2;2;Grupo B;Balance Inquiry
CASE-1251;2023-07-31;2023-07-30;2023-07-01;The chatbot made paying my bill so easy and fast.;positive;positive;email;158;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Card Issues
CASE-1733;2025-05-03;2025-04-27;2025-05-01;Email support was fast and gave me all the info I needed.;positive;positive;phone;10;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Transaction Error
CASE-1432;2023-11-16;2023-11-12;2023-11-01;The chatbot helped me check my balance instantly, love it!;positive;positive;chatbot;4;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-1133;2025-02-06;2025-02-02;2025-02-01;Email support exceeded my expectations with their quick reply.;positive;positive;chatbot;4;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Balance Inquiry
CASE-1786;2024-03-15;2024-03-10;2024-03-01;The phone team was neutral, solved my query.;neutral;neutral;phone;88;4;PROMOTER;0;1;Grupo F,Grupo I,Grupo A;3;3;Grupo A;Payment Issues
CASE-1589;2024-07-11;2024-07-07;2024-07-01;The chatbot crashed during my transaction query.;negative;negative;phone;119;2;DETRACTOR;0;0;Grupo F,Grupo I,Grupo C,Grupo H,Grupo C;4;5;Grupo C;Transaction Error
CASE-1130;2024-11-29;2024-11-24;2024-11-01;The phone team was professional and handled my request well.;positive;positive;phone;14;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Payment Issues
CASE-1075;2023-03-10;2023-03-05;2023-03-01;Email support was a complete letdown.;negative;negative;email;3566;1;DETRACTOR;0;0;Grupo A,Grupo A;1;2;Grupo A;Payment Issues
CASE-1944;2025-08-11;2025-08-10;2025-08-01;The chatbot was quick to assist with my transfer request.;positive;positive;chatbot;5;4;PROMOTER;1;0;Grupo C;1;1;Grupo C;Fees Inquiry
CASE-1753;2024-06-03;2024-06-02;2024-06-01;The email response was professional and to the point.;positive;positive;phone;31;4;PROMOTER;0;0;Grupo A,Grupo I,Grupo D;3;3;Grupo D;Payment Issues
CASE-1721;2025-07-12;2025-07-06;2025-07-01;The phone agent walked me through everything step-by-step.;positive;positive;email;222;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;General Inquiry
CASE-1266;2023-10-15;2023-10-15;2023-10-01;The phone team was courteous and fixed my issue instantly.;positive;positive;email;171;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Loan Inquiry
CASE-1801;2024-04-01;2024-03-31;2024-04-01;The email response was clear and professional.;positive;positive;phone;9;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Card Issues
CASE-1909;2023-09-06;2023-09-03;2023-09-01;Email support was spot on, they fixed my login problem quickly.;positive;positive;chatbot;3;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Transaction Error
CASE-1314;2024-05-05;2024-05-05;2024-05-01;Phone support was okay, nothing to rave about.;neutral;neutral;email;3926;3;DETRACTOR;0;0;Grupo I,Grupo A,Grupo J;3;3;Grupo J;Card Issues
CASE-1300;2024-04-12;2024-04-07;2024-04-01;Email support was neutral, not standout.;neutral;neutral;email;869;3;DETRACTOR;1;1;Grupo F,Grupo D;2;2;Grupo D;Loan Inquiry
CASE-1841;2025-12-10;2025-12-07;2025-12-01;Email support didn’t even try to fix my issue.;negative;negative;chatbot;36;1;DETRACTOR;0;0;Grupo J,Grupo B,Grupo H,Grupo C,Grupo B;4;5;Grupo B;Login Problems
CASE-1076;2023-03-20;2023-03-19;2023-03-01;The phone agent was clueless about my account.;negative;negative;email;2410;2;DETRACTOR;0;0;Grupo G,Grupo F,Grupo G;2;3;Grupo G;Transaction Error
CASE-1316;2024-04-08;2024-04-07;2024-04-01;The email team took too long to fix my login issue.;negative;negative;email;2806;2;DETRACTOR;0;0;Grupo F;1;1;Grupo F;Card Issues
CASE-1104;2025-11-29;2025-11-23;2025-11-01;The chatbot assisted with my account setup smoothly.;positive;positive;phone;6;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-1925;2024-08-28;2024-08-25;2024-08-01;The chatbot crashed when I asked about my loan.;negative;negative;chatbot;45;1;DETRACTOR;0;0;Grupo F,Grupo F,Grupo H;2;3;Grupo H;Card Issues
CASE-1364;2024-12-02;2024-12-01;2024-12-01;The chatbot misunderstood my loan inquiry completely.;negative;negative;email;3858;2;DETRACTOR;0;1;Grupo E,Grupo J;2;2;Grupo J;Card Issues
CASE-1816;2025-01-06;2025-01-05;2025-01-01;The email response was detailed and very helpful.;positive;positive;email;197;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Loan Inquiry
CASE-1795;2025-11-03;2025-11-02;2025-11-01;Phone support was awful, they ignored my problem.;negative;negative;chatbot;21;2;DETRACTOR;0;0;Grupo C,Grupo C,Grupo E;2;3;Grupo E;Transaction Error
CASE-1361;2025-10-08;2025-10-05;2025-10-01;The phone agent was friendly and fixed my login issue.;positive;positive;email;717;5;PROMOTER;1;1;Grupo F,Grupo G,Grupo H;3;3;Grupo H;Card Issues
CASE-1596;2024-04-16;2024-04-14;2024-04-01;The phone agent was so patient with my account setup.;positive;positive;phone;8;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Login Problems
CASE-1306;2025-04-09;2025-04-06;2025-04-01;Email support exceeded my expectations with their quick reply.;positive;positive;phone;13;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Loan Inquiry
CASE-1122;2024-12-29;2024-12-29;2024-12-01;The phone agent didn’t even try to assist me.;negative;negative;phone;226;1;DETRACTOR;0;1;Grupo H,Grupo F,Grupo G,Grupo G;3;4;Grupo G;General Inquiry
CASE-1194;2025-08-19;2025-08-17;2025-08-01;Email support replied, but it wasn’t very detailed.;neutral;neutral;phone;16;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;General Inquiry
CASE-1025;2023-12-10;2023-12-10;2023-12-01;The chatbot crashed during my payment request.;negative;negative;email;3909;2;DETRACTOR;0;1;Grupo B,Grupo B;1;2;Grupo B;Transaction Error
CASE-1928;2025-10-05;2025-10-05;2025-10-01;I got a fast and friendly response via email, great job!;positive;positive;phone;11;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Login Problems
CASE-1100;2025-05-30;2025-05-25;2025-05-01;The phone agent explained everything in a friendly way.;positive;positive;chatbot;3;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Card Issues
CASE-1850;2023-10-13;2023-10-08;2023-10-01;The phone agent was unhelpful with my fees.;negative;negative;chatbot;40;1;DETRACTOR;0;0;Grupo A,Grupo H,Grupo E;3;3;Grupo E;Card Issues
CASE-1036;2024-01-16;2024-01-14;2024-01-01;The chatbot gave me outdated info about my fees.;negative;negative;email;2777;1;DETRACTOR;0;0;Grupo I,Grupo G,Grupo I;2;3;Grupo I;Login Problems
CASE-1900;2025-03-22;2025-03-16;2025-03-01;The email team sent me a reply that made no sense.;negative;negative;email;1645;1;DETRACTOR;0;1;Grupo B,Grupo F,Grupo J,Grupo H;4;4;Grupo H;Payment Issues
CASE-1119;2025-03-12;2025-03-09;2025-03-01;The chatbot was fast and accurate with my inquiry.;positive;positive;chatbot;5;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Card Issues
CASE-1923;2025-06-27;2025-06-22;2025-06-01;The phone team was amazing with my inquiry.;positive;positive;phone;8;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Card Issues
CASE-1017;2023-06-23;2023-06-18;2023-06-01;The phone agent was so patient with my account setup.;positive;positive;chatbot;2;5;PROMOTER;1;0;Grupo C;1;1;Grupo C;Payment Issues
CASE-1420;2024-06-12;2024-06-09;2024-06-01;The email response was clear and professional.;positive;positive;chatbot;10;5;PROMOTER;1;1;Grupo B,Grupo H,Grupo I;3;3;Grupo I;Account Setup
CASE-1842;2024-09-30;2024-09-29;2024-09-01;The chatbot made banking so convenient, I love it!;positive;positive;email;222;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Transaction Error
CASE-1151;2024-10-09;2024-10-06;2024-10-01;The chatbot assisted with my bill payment perfectly.;positive;positive;chatbot;2;4;PROMOTER;1;1;Grupo A,Grupo E;2;2;Grupo E;Balance Inquiry
CASE-1947;2024-01-17;2024-01-14;2024-01-01;The email team responded promptly and solved my issue.;positive;positive;chatbot;3;4;PROMOTER;1;1;Grupo F,Grupo G,Grupo D;3;3;Grupo D;Loan Inquiry
CASE-1739;2023-04-09;2023-04-09;2023-04-01;The phone support was okay, nothing special.;neutral;neutral;chatbot;44;4;PROMOTER;0;0;Grupo F,Grupo E,Grupo G;3;3;Grupo G;Balance Inquiry
CASE-1783;2024-12-10;2024-12-08;2024-12-01;Email support didn’t even try to fix my issue.;negative;negative;email;2944;1;DETRACTOR;0;1;Grupo J,Grupo F,Grupo E;3;3;Grupo E;Payment Issues
CASE-1384;2023-08-17;2023-08-13;2023-08-01;The phone team was incompetent and slow.;negative;negative;chatbot;17;1;DETRACTOR;0;0;Grupo I,Grupo H,Grupo C;3;3;Grupo C;Login Problems
CASE-1646;2023-04-26;2023-04-23;2023-04-01;The phone agent was clueless about my account.;negative;negative;chatbot;81;2;DETRACTOR;0;0;Grupo I,Grupo G,Grupo G;2;3;Grupo G;Fees Inquiry
CASE-1159;2023-08-31;2023-08-27;2023-08-01;Email support ignored my complaint completely.;negative;negative;phone;94;2;DETRACTOR;0;0;Grupo C,Grupo D,Grupo H;3;3;Grupo H;Card Issues
